,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
505,256,25,64,0.5,2048,0.025,adam,15,0.05,0.1055,0.0464
153,128,25,128,0.1,2048,0.025,adam,15,0.05,0.0927,0.0099
329,128,50,128,0.1,512,0.025,adam,15,0.05,0.0779,0.014
105,128,25,64,0.5,512,0.025,adam,15,0.05,0.0776,0.0348
89,128,25,64,0.1,2048,0.025,adam,15,0.05,0.0648,0.01
233,128,50,8,0.5,512,0.025,adam,15,0.05,0.0624,0.0152
41,128,25,8,0.5,512,0.025,adam,15,0.05,0.0552,0.0391
59,128,25,8,0.5,2048,0.025,adam,45,0.05,0.0484,0.0084
137,128,25,128,0.1,512,0.025,adam,15,0.05,0.044,0.0048
73,128,25,64,0.1,512,0.025,adam,15,0.05,0.0408,0.0283
9,128,25,8,0.1,512,0.025,adam,15,0.05,0.0267,0.0156
185,128,25,128,0.5,2048,0.025,adam,15,0.05,0.0258,0.0093
121,128,25,64,0.5,2048,0.025,adam,15,0.05,0.014,0.015
169,128,25,128,0.5,512,0.025,adam,15,0.05,0.0135,0.0023
