,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
14,128,15,0.1,2,False,0.0075,1,adam,40,0.01,0.3275,0.1874
114,128,15,0.5,4,False,0.0075,2,adam,15,0.01,0.3271,0.1988
164,128,30,0.1,2,False,0.0075,2,adam,40,0.01,0.327,0.1382
593,256,30,0.1,2,False,0.0075,1,adam,45,0.05,0.3269,0.1633
523,256,15,0.5,2,False,0.0075,2,adam,15,0.05,0.326,0.2107
15,128,15,0.1,2,False,0.0075,1,adam,40,0.05,0.3246,0.2035
622,256,30,0.1,4,False,0.0075,2,adam,45,0.01,0.3245,0.1718
538,256,15,0.5,4,False,0.005,2,adam,45,0.01,0.3242,0.1909
370,128,45,0.5,2,False,0.005,2,adam,45,0.01,0.3242,0.1284
800,256,45,0.5,2,False,0.005,2,adam,40,0.01,0.3225,0.1309
476,256,15,0.1,4,False,0.0075,2,adam,40,0.01,0.3222,0.2026
547,256,15,0.5,4,False,0.0075,2,adam,15,0.05,0.3222,0.2005
258,128,30,0.5,4,False,0.0075,2,adam,15,0.01,0.3208,0.1537
597,256,30,0.1,2,False,0.0075,2,adam,40,0.05,0.32,0.1875
58,128,15,0.1,32,False,0.005,2,adam,45,0.01,0.319,0.2041
92,128,15,0.5,2,False,0.0075,2,adam,40,0.01,0.319,0.185
534,256,15,0.5,4,False,0.005,2,adam,15,0.01,0.3186,0.1901
5,128,15,0.1,2,False,0.005,1,adam,45,0.05,0.3184,0.1991
94,128,15,0.5,2,False,0.0075,2,adam,45,0.01,0.3172,0.2061
533,256,15,0.5,4,False,0.005,1,adam,45,0.05,0.3165,0.187
117,128,15,0.5,4,False,0.0075,2,adam,40,0.05,0.316,0.1861
450,256,15,0.1,2,False,0.0075,2,adam,15,0.01,0.3154,0.2038
79,128,15,0.5,2,False,0.005,2,adam,15,0.05,0.3153,0.2066
535,256,15,0.5,4,False,0.005,2,adam,15,0.05,0.3153,0.2014
82,128,15,0.5,2,False,0.005,2,adam,45,0.01,0.3151,0.2031
2,128,15,0.1,2,False,0.005,1,adam,40,0.01,0.3138,0.1999
460,256,15,0.1,4,False,0.005,1,adam,45,0.01,0.3137,0.1914
741,256,45,0.1,2,False,0.0075,2,adam,40,0.05,0.3128,0.1274
39,128,15,0.1,4,False,0.0075,1,adam,40,0.05,0.3123,0.185
236,128,30,0.5,2,False,0.0075,2,adam,40,0.01,0.3117,0.1332
74,128,15,0.5,2,False,0.005,1,adam,40,0.01,0.3109,0.1957
448,256,15,0.1,2,False,0.0075,1,adam,45,0.01,0.3094,0.1722
455,256,15,0.1,2,False,0.0075,2,adam,45,0.05,0.3058,0.1739
550,256,15,0.5,4,False,0.0075,2,adam,45,0.01,0.3046,0.1666
731,256,45,0.1,2,False,0.005,2,adam,45,0.05,0.3041,0.114
454,256,15,0.1,2,False,0.0075,2,adam,45,0.01,0.3031,0.1811
32,128,15,0.1,4,False,0.005,2,adam,40,0.01,0.3031,0.1756
155,128,30,0.1,2,False,0.005,2,adam,45,0.05,0.3018,0.1293
585,256,30,0.1,2,False,0.005,2,adam,40,0.05,0.3013,0.1379
599,256,30,0.1,2,False,0.0075,2,adam,45,0.05,0.3002,0.141
743,256,45,0.1,2,False,0.0075,2,adam,45,0.05,0.2998,0.1261
521,256,15,0.5,2,False,0.0075,1,adam,45,0.05,0.2997,0.1941
239,128,30,0.5,2,False,0.0075,2,adam,45,0.05,0.2993,0.1296
520,256,15,0.5,2,False,0.0075,1,adam,45,0.01,0.299,0.2023
815,256,45,0.5,2,False,0.0075,2,adam,45,0.05,0.2987,0.1109
656,256,30,0.5,2,False,0.005,2,adam,40,0.01,0.2983,0.1499
40,128,15,0.1,4,False,0.0075,1,adam,45,0.01,0.2972,0.1918
438,256,15,0.1,2,False,0.005,2,adam,15,0.01,0.2958,0.178
12,128,15,0.1,2,False,0.0075,1,adam,15,0.01,0.2948,0.1868
440,256,15,0.1,2,False,0.005,2,adam,40,0.01,0.2939,0.1597
611,256,30,0.1,4,False,0.005,2,adam,45,0.05,0.2916,0.1346
434,256,15,0.1,2,False,0.005,1,adam,40,0.01,0.2903,0.2048
188,128,30,0.1,4,False,0.0075,2,adam,40,0.01,0.2898,0.1389
76,128,15,0.5,2,False,0.005,1,adam,45,0.01,0.2893,0.1675
539,256,15,0.5,4,False,0.005,2,adam,45,0.05,0.289,0.1731
532,256,15,0.5,4,False,0.005,1,adam,45,0.01,0.2871,0.2134
78,128,15,0.5,2,False,0.005,2,adam,15,0.01,0.2867,0.195
17,128,15,0.1,2,False,0.0075,1,adam,45,0.05,0.2863,0.1944
