,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
636,4864,50,16,0.4,256,0.025,adam,30,0.0025,0.3196,0.1033
635,4864,50,16,0.4,256,0.005,sgd,120,0.05,0.3195,0.1239
463,4864,15,16,0.4,768,0.005,sgd,30,0.05,0.3192,0.1582
118,3584,15,48,0.05,256,0.025,sgd,120,0.0025,0.3189,0.1735
341,3584,50,48,0.4,256,0.005,adam,120,0.05,0.3189,0.1076
277,3584,50,16,0.4,768,0.025,adam,30,0.05,0.3189,0.101
96,3584,15,48,0.05,256,0.005,adam,30,0.0025,0.3188,0.1588
379,3584,50,48,0.4,768,0.025,sgd,30,0.05,0.3188,0.1156
243,3584,50,16,0.4,256,0.005,adam,60,0.05,0.3188,0.1149
270,3584,50,16,0.4,768,0.005,sgd,30,0.0025,0.3185,0.1122
133,3584,15,48,0.05,768,0.025,adam,30,0.05,0.3183,0.1468
565,4864,15,48,0.4,768,0.025,adam,30,0.05,0.318,0.159
18,3584,15,16,0.05,256,0.025,sgd,30,0.0025,0.3173,0.174
739,4864,50,48,0.4,256,0.025,sgd,30,0.05,0.3173,0.1181
614,4864,50,16,0.05,768,0.025,adam,60,0.0025,0.3172,0.1005
301,3584,50,48,0.05,256,0.025,adam,30,0.05,0.3172,0.0809
254,3584,50,16,0.4,256,0.025,adam,60,0.0025,0.3172,0.0758
154,3584,15,48,0.4,256,0.005,sgd,120,0.0025,0.3171,0.1671
107,3584,15,48,0.05,256,0.005,sgd,120,0.05,0.3171,0.1525
206,3584,50,16,0.05,256,0.025,adam,60,0.0025,0.3171,0.1094
300,3584,50,48,0.05,256,0.025,adam,30,0.0025,0.317,0.088
333,3584,50,48,0.05,768,0.025,sgd,60,0.05,0.3167,0.1232
692,4864,50,48,0.05,256,0.025,sgd,60,0.0025,0.3165,0.1433
103,3584,15,48,0.05,256,0.005,sgd,30,0.05,0.3163,0.2013
221,3584,50,16,0.05,768,0.005,adam,120,0.05,0.3162,0.1257
201,3584,50,16,0.05,256,0.005,sgd,60,0.05,0.316,0.1303
606,4864,50,16,0.05,768,0.005,sgd,30,0.0025,0.316,0.1241
7,3584,15,16,0.05,256,0.005,sgd,30,0.05,0.3157,0.1754
403,4864,15,16,0.05,256,0.025,sgd,30,0.05,0.3157,0.1579
585,4864,50,16,0.05,256,0.005,sgd,60,0.05,0.3156,0.1221
660,4864,50,16,0.4,768,0.025,adam,30,0.0025,0.3154,0.094
249,3584,50,16,0.4,256,0.005,sgd,60,0.05,0.3153,0.1049
733,4864,50,48,0.4,256,0.025,adam,30,0.05,0.3151,0.0917
678,4864,50,48,0.05,256,0.005,sgd,30,0.0025,0.3145,0.1201
482,4864,15,48,0.05,256,0.005,adam,60,0.0025,0.3144,0.2108
171,3584,15,48,0.4,768,0.005,adam,60,0.05,0.3141,0.1464
2,3584,15,16,0.05,256,0.005,adam,60,0.0025,0.314,0.2064
594,4864,50,16,0.05,256,0.025,sgd,30,0.0025,0.314,0.1472
303,3584,50,48,0.05,256,0.025,adam,60,0.05,0.314,0.0762
53,3584,15,16,0.4,256,0.005,adam,120,0.05,0.3139,0.154
693,4864,50,48,0.05,256,0.025,sgd,60,0.05,0.3139,0.1515
48,3584,15,16,0.4,256,0.005,adam,30,0.0025,0.3137,0.1406
87,3584,15,16,0.4,768,0.025,adam,60,0.05,0.3134,0.1543
234,3584,50,16,0.05,768,0.025,sgd,30,0.0025,0.3133,0.1157
669,4864,50,16,0.4,768,0.025,sgd,60,0.05,0.3132,0.104
571,4864,15,48,0.4,768,0.025,sgd,30,0.05,0.3131,0.1776
435,4864,15,16,0.4,256,0.005,adam,60,0.05,0.3126,0.1524
152,3584,15,48,0.4,256,0.005,sgd,60,0.0025,0.3125,0.1572
710,4864,50,48,0.05,768,0.025,adam,60,0.0025,0.3125,0.1053
238,3584,50,16,0.05,768,0.025,sgd,120,0.0025,0.3124,0.1368
538,4864,15,48,0.4,256,0.005,sgd,120,0.0025,0.3122,0.1538
742,4864,50,48,0.4,256,0.025,sgd,120,0.0025,0.312,0.1349
620,4864,50,16,0.05,768,0.025,sgd,60,0.0025,0.3119,0.1461
310,3584,50,48,0.05,256,0.025,sgd,120,0.0025,0.3119,0.1434
268,3584,50,16,0.4,768,0.005,adam,120,0.0025,0.3119,0.0748
42,3584,15,16,0.05,768,0.025,sgd,30,0.0025,0.3117,0.1743
632,4864,50,16,0.4,256,0.005,sgd,60,0.0025,0.3117,0.1193
318,3584,50,48,0.05,768,0.005,sgd,30,0.0025,0.3114,0.1408
561,4864,15,48,0.4,768,0.005,sgd,60,0.05,0.3109,0.1545
299,3584,50,48,0.05,256,0.005,sgd,120,0.05,0.3108,0.1503
93,3584,15,16,0.4,768,0.025,sgd,60,0.05,0.3106,0.1352
21,3584,15,16,0.05,256,0.025,sgd,60,0.05,0.3105,0.1802
450,4864,15,16,0.4,256,0.025,sgd,30,0.0025,0.3105,0.1636
373,3584,50,48,0.4,768,0.025,adam,30,0.05,0.3104,0.0776
189,3584,15,48,0.4,768,0.025,sgd,60,0.05,0.3101,0.1784
721,4864,50,48,0.4,256,0.005,adam,30,0.05,0.3101,0.1318
394,4864,15,16,0.05,256,0.005,sgd,120,0.0025,0.31,0.2103
719,4864,50,48,0.05,768,0.025,sgd,120,0.05,0.3099,0.1225
415,4864,15,16,0.05,768,0.005,sgd,30,0.05,0.3098,0.1964
192,3584,50,16,0.05,256,0.005,adam,30,0.0025,0.3095,0.1276
672,4864,50,48,0.05,256,0.005,adam,30,0.0025,0.3094,0.133
131,3584,15,48,0.05,768,0.005,sgd,120,0.05,0.3093,0.1733
548,4864,15,48,0.4,256,0.025,sgd,60,0.0025,0.3093,0.1563
456,4864,15,16,0.4,768,0.005,adam,30,0.0025,0.3092,0.148
570,4864,15,48,0.4,768,0.025,sgd,30,0.0025,0.3086,0.2034
649,4864,50,16,0.4,768,0.005,adam,30,0.05,0.3086,0.1287
577,4864,50,16,0.05,256,0.005,adam,30,0.05,0.3085,0.1192
159,3584,15,48,0.4,256,0.025,adam,60,0.05,0.3083,0.1599
339,3584,50,48,0.4,256,0.005,adam,60,0.05,0.3083,0.104
766,4864,50,48,0.4,768,0.025,sgd,120,0.0025,0.3082,0.1381
657,4864,50,16,0.4,768,0.005,sgd,60,0.05,0.3081,0.1164
610,4864,50,16,0.05,768,0.005,sgd,120,0.0025,0.308,0.1425
438,4864,15,16,0.4,256,0.005,sgd,30,0.0025,0.3079,0.1603
314,3584,50,48,0.05,768,0.005,adam,60,0.0025,0.3076,0.1411
356,3584,50,48,0.4,256,0.025,sgd,60,0.0025,0.3076,0.1022
138,3584,15,48,0.05,768,0.025,sgd,30,0.0025,0.3075,0.1753
91,3584,15,16,0.4,768,0.025,sgd,30,0.05,0.3075,0.1466
759,4864,50,48,0.4,768,0.025,adam,60,0.05,0.3074,0.0743
457,4864,15,16,0.4,768,0.005,adam,30,0.05,0.3073,0.1613
298,3584,50,48,0.05,256,0.005,sgd,120,0.0025,0.3073,0.1552
296,3584,50,48,0.05,256,0.005,sgd,60,0.0025,0.3072,0.1572
43,3584,15,16,0.05,768,0.025,sgd,30,0.05,0.3071,0.1819
444,4864,15,16,0.4,256,0.025,adam,30,0.0025,0.3071,0.1479
588,4864,50,16,0.05,256,0.025,adam,30,0.0025,0.3069,0.1335
258,3584,50,16,0.4,256,0.025,sgd,30,0.0025,0.3069,0.1062
114,3584,15,48,0.05,256,0.025,sgd,30,0.0025,0.3068,0.1327
703,4864,50,48,0.05,768,0.005,sgd,30,0.05,0.3066,0.1418
647,4864,50,16,0.4,256,0.025,sgd,120,0.05,0.3066,0.1035
