,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
481,1024,75,256,0.5,512,0.005,sgd,40,0.05,0.6277,0.1184
196,512,75,256,0.1,512,0.005,adam,40,0.01,0.6275,0.137
455,1024,75,256,0.1,512,0.005,adam,45,0.05,0.6275,0.1298
495,1024,75,256,0.5,512,0.05,adam,45,0.05,0.6274,0.1432
227,512,75,256,0.5,512,0.005,sgd,45,0.05,0.6273,0.1084
437,1024,75,64,0.5,2048,0.005,adam,40,0.05,0.6268,0.1183
245,512,75,256,0.5,2048,0.005,adam,40,0.05,0.6267,0.1124
374,1024,40,256,0.5,2048,0.005,adam,45,0.01,0.6264,0.1785
36,512,40,64,0.5,512,0.005,adam,40,0.01,0.6264,0.1639
183,512,75,64,0.5,2048,0.005,adam,45,0.05,0.626,0.1238
271,1024,40,64,0.1,512,0.05,adam,45,0.05,0.6259,0.2167
405,1024,75,64,0.1,2048,0.005,adam,40,0.05,0.6258,0.1266
402,1024,75,64,0.1,2048,0.005,sgd,45,0.01,0.6257,0.1217
457,1024,75,256,0.1,512,0.05,sgd,40,0.05,0.6255,0.1265
100,512,40,256,0.5,512,0.005,adam,40,0.01,0.6254,0.1669
241,512,75,256,0.5,2048,0.005,sgd,40,0.05,0.6254,0.1059
325,1024,40,256,0.1,512,0.005,adam,40,0.05,0.6252,0.2118
242,512,75,256,0.5,2048,0.005,sgd,45,0.01,0.625,0.1158
86,512,40,256,0.1,2048,0.005,adam,45,0.01,0.6247,0.1888
191,512,75,64,0.5,2048,0.05,adam,45,0.05,0.6245,0.1286
500,1024,75,256,0.5,2048,0.005,adam,40,0.01,0.6243,0.1813
487,1024,75,256,0.5,512,0.005,adam,45,0.05,0.6243,0.1253
486,1024,75,256,0.5,512,0.005,adam,45,0.01,0.6237,0.1396
123,512,40,256,0.5,2048,0.05,sgd,45,0.05,0.6237,0.1339
468,1024,75,256,0.1,2048,0.005,adam,40,0.01,0.6235,0.1309
454,1024,75,256,0.1,512,0.005,adam,45,0.01,0.6233,0.1432
485,1024,75,256,0.5,512,0.005,adam,40,0.05,0.6233,0.1141
380,1024,40,256,0.5,2048,0.05,adam,40,0.01,0.6231,0.1464
443,1024,75,64,0.5,2048,0.05,sgd,45,0.05,0.6229,0.139
292,1024,40,64,0.5,512,0.005,adam,40,0.01,0.6228,0.1748
129,512,75,64,0.1,512,0.005,sgd,40,0.05,0.6228,0.1149
423,1024,75,64,0.5,512,0.005,adam,45,0.05,0.6228,0.1133
458,1024,75,256,0.1,512,0.05,sgd,45,0.01,0.6227,0.185
471,1024,75,256,0.1,2048,0.005,adam,45,0.05,0.6225,0.1107
398,1024,75,64,0.1,512,0.05,adam,45,0.01,0.6224,0.1029
261,1024,40,64,0.1,512,0.005,adam,40,0.05,0.6221,0.1694
350,1024,40,256,0.1,2048,0.05,adam,45,0.01,0.6221,0.1593
446,1024,75,64,0.5,2048,0.05,adam,45,0.01,0.6221,0.1013
428,1024,75,64,0.5,512,0.05,adam,40,0.01,0.622,0.1189
276,1024,40,64,0.1,2048,0.005,adam,40,0.01,0.6218,0.2165
42,512,40,64,0.5,512,0.05,sgd,45,0.01,0.6217,0.1544
131,512,75,64,0.1,512,0.005,sgd,45,0.05,0.6217,0.1057
176,512,75,64,0.5,2048,0.005,sgd,40,0.01,0.6212,0.1148
386,1024,75,64,0.1,512,0.005,sgd,45,0.01,0.621,0.1091
152,512,75,64,0.1,2048,0.05,sgd,40,0.01,0.6209,0.1518
22,512,40,64,0.1,2048,0.005,adam,45,0.01,0.6208,0.1879
180,512,75,64,0.5,2048,0.005,adam,40,0.01,0.6207,0.1198
214,512,75,256,0.1,2048,0.005,adam,45,0.01,0.6206,0.1041
507,1024,75,256,0.5,2048,0.05,sgd,45,0.05,0.6205,0.1102
160,512,75,64,0.5,512,0.005,sgd,40,0.01,0.6204,0.1106
459,1024,75,256,0.1,512,0.05,sgd,45,0.05,0.6201,0.1284
155,512,75,64,0.1,2048,0.05,sgd,45,0.05,0.6201,0.1108
299,1024,40,64,0.5,512,0.05,sgd,45,0.05,0.62,0.2253
452,1024,75,256,0.1,512,0.005,adam,40,0.01,0.62,0.1973
28,512,40,64,0.1,2048,0.05,adam,40,0.01,0.6199,0.1451
439,1024,75,64,0.5,2048,0.005,adam,45,0.05,0.6199,0.133
73,512,40,256,0.1,512,0.05,sgd,40,0.05,0.6191,0.179
234,512,75,256,0.5,512,0.05,sgd,45,0.01,0.6191,0.1235
228,512,75,256,0.5,512,0.005,adam,40,0.01,0.6187,0.132
165,512,75,64,0.5,512,0.005,adam,40,0.05,0.6185,0.1073
163,512,75,64,0.5,512,0.005,sgd,45,0.05,0.6184,0.1052
461,1024,75,256,0.1,512,0.05,adam,40,0.05,0.6184,0.0952
150,512,75,64,0.1,2048,0.005,adam,45,0.01,0.6177,0.1372
287,1024,40,64,0.1,2048,0.05,adam,45,0.05,0.6176,0.1736
154,512,75,64,0.1,2048,0.05,sgd,45,0.01,0.6173,0.1196
142,512,75,64,0.1,512,0.05,adam,45,0.01,0.6173,0.0985
92,512,40,256,0.1,2048,0.05,adam,40,0.01,0.6171,0.1731
10,512,40,64,0.1,512,0.05,sgd,45,0.01,0.617,0.1732
430,1024,75,64,0.5,512,0.05,adam,45,0.01,0.6167,0.1086
412,1024,75,64,0.1,2048,0.05,adam,40,0.01,0.6165,0.0985
230,512,75,256,0.5,512,0.005,adam,45,0.01,0.6154,0.1087
89,512,40,256,0.1,2048,0.05,sgd,40,0.05,0.6151,0.1401
8,512,40,64,0.1,512,0.05,sgd,40,0.01,0.615,0.2093
182,512,75,64,0.5,2048,0.005,adam,45,0.01,0.6147,0.1206
75,512,40,256,0.1,512,0.05,sgd,45,0.05,0.6146,0.146
233,512,75,256,0.5,512,0.05,sgd,40,0.05,0.6144,0.1053
74,512,40,256,0.1,512,0.05,sgd,45,0.01,0.6143,0.2218
